ProjectName,ProjectCode,Amount,Currency,CompanyName,CompanyNumber,ReportEndDate,Version,Notes,ReportName,ReportNotes,FilingDate
Barro Alto,Barro Alto,1065794,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Boa Vista,Boa Vista,160046,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Boa Vista (Fresh Rock),Boa Vista (Fresh Rock),271683,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Callide,Callide,16221344,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Capcoal,Capcoal,95100907,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Chapadao,Chapadao,167284,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Codemin,Codemin,401478,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate,Corporate,13071,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Niquel Brasil Ltda,Corporate,5446805,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Niobio Ltda,Corporate,77182110,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Fosfatos Ltda,Corporate,25076589,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Minerio de Ferro Brasil S.A,Corporate,11144626,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Sur S.A.,Corporate,97089291,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Chile,Corporate,5690401,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Anglo American Norte S.A.,Corporate,7032377,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Asociación Quellaveco,Corporate,4246,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
Corporate-Asociación Michiquillay,Corporate,9017,USD,Anglo American plc,03564138,2015-12-31,1,,Anglo American Report,,30 Jun 2016
